Feature,Master_feature,Time,Type
LPS_NonBT_pERK_T1_T5,LPS_NonBT_pERK,T5,Signaling capacity
LPS_NonBT_pP38_T1_T5,LPS_NonBT_pP38,T5,Signaling capacity
LPS_NonBT_pPLCg_T1_T5,LPS_NonBT_pPLCg,T5,Signaling capacity
IFNa_Bcells_Freq_T1_T6,IFNa_Bcells_Freq,T6,Signaling capacity
IFNa_Bcells_pSTAT1_T1_T6,IFNa_Bcells_pSTAT1,T6,Signaling capacity
IFNa_Bcells_pSTAT3_T1_T6,IFNa_Bcells_pSTAT3,T6,Signaling capacity
IFNa_Bcells_pSTAT5_T1_T6,IFNa_Bcells_pSTAT5,T6,Signaling capacity
IFNa_CD4Tcells_Freq_T1_T6,IFNa_CD4Tcells_Freq,T6,Signaling capacity
IFNa_CD4Tcells_pSTAT1_T1_T6,IFNa_CD4Tcells_pSTAT1,T6,Signaling capacity
IFNa_CD4Tcells_pSTAT3_T1_T6,IFNa_CD4Tcells_pSTAT3,T6,Signaling capacity
IFNa_CD4Tcells_pSTAT5_T1_T6,IFNa_CD4Tcells_pSTAT5,T6,Signaling capacity
IFNa_CD4TcellsCD45RAneg_Freq_T1_T6,IFNa_CD4TcellsCD45RAneg_Freq,T6,Signaling capacity
IFNa_CD4TcellsCD45RAneg_pSTAT1_T1_T6,IFNa_CD4TcellsCD45RAneg_pSTAT1,T6,Signaling capacity
IFNa_CD4TcellsCD45RAneg_pSTAT3_T1_T6,IFNa_CD4TcellsCD45RAneg_pSTAT3,T6,Signaling capacity
IFNa_CD4TcellsCD45RAneg_pSTAT5_T1_T6,IFNa_CD4TcellsCD45RAneg_pSTAT5,T6,Signaling capacity
IFNa_CD4TcellsCD45RApos_Freq_T1_T6,IFNa_CD4TcellsCD45RApos_Freq,T6,Signaling capacity
IFNa_CD4TcellsCD45RApos_pSTAT1_T1_T6,IFNa_CD4TcellsCD45RApos_pSTAT1,T6,Signaling capacity
IFNa_CD4TcellsCD45RApos_pSTAT3_T1_T6,IFNa_CD4TcellsCD45RApos_pSTAT3,T6,Signaling capacity
IFNa_CD4TcellsCD45RApos_pSTAT5_T1_T6,IFNa_CD4TcellsCD45RApos_pSTAT5,T6,Signaling capacity
IFNa_CD8Tcells_Freq_T1_T6,IFNa_CD8Tcells_Freq,T6,Signaling capacity
IFNa_CD8Tcells_pSTAT1_T1_T6,IFNa_CD8Tcells_pSTAT1,T6,Signaling capacity
IFNa_CD8Tcells_pSTAT3_T1_T6,IFNa_CD8Tcells_pSTAT3,T6,Signaling capacity
IFNa_CD8Tcells_pSTAT5_T1_T6,IFNa_CD8Tcells_pSTAT5,T6,Signaling capacity
IFNa_CD8TcellsCD45RAneg_Freq_T1_T6,IFNa_CD8TcellsCD45RAneg_Freq,T6,Signaling capacity
IFNa_CD8TcellsCD45RAneg_pSTAT1_T1_T6,IFNa_CD8TcellsCD45RAneg_pSTAT1,T6,Signaling capacity
IFNa_CD8TcellsCD45RAneg_pSTAT3_T1_T6,IFNa_CD8TcellsCD45RAneg_pSTAT3,T6,Signaling capacity
IFNa_CD8TcellsCD45RAneg_pSTAT5_T1_T6,IFNa_CD8TcellsCD45RAneg_pSTAT5,T6,Signaling capacity
IFNa_CD8TcellsCD45RApos_Freq_T1_T6,IFNa_CD8TcellsCD45RApos_Freq,T6,Signaling capacity
IFNa_CD8TcellsCD45RApos_pSTAT1_T1_T6,IFNa_CD8TcellsCD45RApos_pSTAT1,T6,Signaling capacity
IFNa_CD8TcellsCD45RApos_pSTAT3_T1_T6,IFNa_CD8TcellsCD45RApos_pSTAT3,T6,Signaling capacity
IFNa_CD8TcellsCD45RApos_pSTAT5_T1_T6,IFNa_CD8TcellsCD45RApos_pSTAT5,T6,Signaling capacity
IFNa_Monocytes_Freq_T1_T6,IFNa_Monocytes_Freq,T6,Signaling capacity
IFNa_Monocytes_pSTAT1_T1_T6,IFNa_Monocytes_pSTAT1,T6,Signaling capacity
IFNa_Monocytes_pSTAT3_T1_T6,IFNa_Monocytes_pSTAT3,T6,Signaling capacity
IFNa_Monocytes_pSTAT5_T1_T6,IFNa_Monocytes_pSTAT5,T6,Signaling capacity
IFNa_NonBT_Freq_T1_T6,IFNa_NonBT_Freq,T6,Signaling capacity
IFNa_NonBT_pSTAT1_T1_T6,IFNa_NonBT_pSTAT1,T6,Signaling capacity
IFNa_NonBT_pSTAT3_T1_T6,IFNa_NonBT_pSTAT3,T6,Signaling capacity
IFNa_NonBT_pSTAT5_T1_T6,IFNa_NonBT_pSTAT5,T6,Signaling capacity
DataSet_T1_T6,DataSet,T6,Signaling capacity
IFNg_Bcells_Freq_T1_T6,IFNg_Bcells_Freq,T6,Signaling capacity
IFNg_Bcells_pSTAT1_T1_T6,IFNg_Bcells_pSTAT1,T6,Signaling capacity
IFNg_Bcells_pSTAT3_T1_T6,IFNg_Bcells_pSTAT3,T6,Signaling capacity
IFNg_Bcells_pSTAT5_T1_T6,IFNg_Bcells_pSTAT5,T6,Signaling capacity
IFNg_CD4Tcells_Freq_T1_T6,IFNg_CD4Tcells_Freq,T6,Signaling capacity
IFNg_CD4Tcells_pSTAT1_T1_T6,IFNg_CD4Tcells_pSTAT1,T6,Signaling capacity
IFNg_CD4Tcells_pSTAT3_T1_T6,IFNg_CD4Tcells_pSTAT3,T6,Signaling capacity
IFNg_CD4Tcells_pSTAT5_T1_T6,IFNg_CD4Tcells_pSTAT5,T6,Signaling capacity
IFNg_CD4TcellsCD45RAneg_Freq_T1_T6,IFNg_CD4TcellsCD45RAneg_Freq,T6,Signaling capacity
IFNg_CD4TcellsCD45RAneg_pSTAT1_T1_T6,IFNg_CD4TcellsCD45RAneg_pSTAT1,T6,Signaling capacity
IFNg_CD4TcellsCD45RAneg_pSTAT3_T1_T6,IFNg_CD4TcellsCD45RAneg_pSTAT3,T6,Signaling capacity
IFNg_CD4TcellsCD45RAneg_pSTAT5_T1_T6,IFNg_CD4TcellsCD45RAneg_pSTAT5,T6,Signaling capacity
IFNg_CD4TcellsCD45RApos_Freq_T1_T6,IFNg_CD4TcellsCD45RApos_Freq,T6,Signaling capacity
IFNg_CD4TcellsCD45RApos_pSTAT1_T1_T6,IFNg_CD4TcellsCD45RApos_pSTAT1,T6,Signaling capacity
IFNg_CD4TcellsCD45RApos_pSTAT3_T1_T6,IFNg_CD4TcellsCD45RApos_pSTAT3,T6,Signaling capacity
IFNg_CD4TcellsCD45RApos_pSTAT5_T1_T6,IFNg_CD4TcellsCD45RApos_pSTAT5,T6,Signaling capacity
IFNg_CD8Tcells_Freq_T1_T6,IFNg_CD8Tcells_Freq,T6,Signaling capacity
IFNg_CD8Tcells_pSTAT1_T1_T6,IFNg_CD8Tcells_pSTAT1,T6,Signaling capacity
IFNg_CD8Tcells_pSTAT3_T1_T6,IFNg_CD8Tcells_pSTAT3,T6,Signaling capacity
IFNg_CD8Tcells_pSTAT5_T1_T6,IFNg_CD8Tcells_pSTAT5,T6,Signaling capacity
IFNg_CD8TcellsCD45RAneg_Freq_T1_T6,IFNg_CD8TcellsCD45RAneg_Freq,T6,Signaling capacity
IFNg_CD8TcellsCD45RAneg_pSTAT1_T1_T6,IFNg_CD8TcellsCD45RAneg_pSTAT1,T6,Signaling capacity
IFNg_CD8TcellsCD45RAneg_pSTAT3_T1_T6,IFNg_CD8TcellsCD45RAneg_pSTAT3,T6,Signaling capacity
IFNg_CD8TcellsCD45RAneg_pSTAT5_T1_T6,IFNg_CD8TcellsCD45RAneg_pSTAT5,T6,Signaling capacity
IFNg_CD8TcellsCD45RApos_Freq_T1_T6,IFNg_CD8TcellsCD45RApos_Freq,T6,Signaling capacity
IFNg_CD8TcellsCD45RApos_pSTAT1_T1_T6,IFNg_CD8TcellsCD45RApos_pSTAT1,T6,Signaling capacity
IFNg_CD8TcellsCD45RApos_pSTAT3_T1_T6,IFNg_CD8TcellsCD45RApos_pSTAT3,T6,Signaling capacity
IFNg_CD8TcellsCD45RApos_pSTAT5_T1_T6,IFNg_CD8TcellsCD45RApos_pSTAT5,T6,Signaling capacity
IFNg_Monocytes_Freq_T1_T6,IFNg_Monocytes_Freq,T6,Signaling capacity
IFNg_Monocytes_pSTAT1_T1_T6,IFNg_Monocytes_pSTAT1,T6,Signaling capacity
IFNg_Monocytes_pSTAT3_T1_T6,IFNg_Monocytes_pSTAT3,T6,Signaling capacity
IFNg_Monocytes_pSTAT5_T1_T6,IFNg_Monocytes_pSTAT5,T6,Signaling capacity
IFNg_NonBT_Freq_T1_T6,IFNg_NonBT_Freq,T6,Signaling capacity
IFNg_NonBT_pSTAT1_T1_T6,IFNg_NonBT_pSTAT1,T6,Signaling capacity
IFNg_NonBT_pSTAT3_T1_T6,IFNg_NonBT_pSTAT3,T6,Signaling capacity
IFNg_NonBT_pSTAT5_T1_T6,IFNg_NonBT_pSTAT5,T6,Signaling capacity
IL10_Bcells_Freq_T1_T6,IL10_Bcells_Freq,T6,Signaling capacity
IL10_Bcells_pSTAT1_T1_T6,IL10_Bcells_pSTAT1,T6,Signaling capacity
IL10_Bcells_pSTAT3_T1_T6,IL10_Bcells_pSTAT3,T6,Signaling capacity
IL10_Bcells_pSTAT5_T1_T6,IL10_Bcells_pSTAT5,T6,Signaling capacity
IL10_CD4Tcells_Freq_T1_T6,IL10_CD4Tcells_Freq,T6,Signaling capacity
IL10_CD4Tcells_pSTAT1_T1_T6,IL10_CD4Tcells_pSTAT1,T6,Signaling capacity
IL10_CD4Tcells_pSTAT3_T1_T6,IL10_CD4Tcells_pSTAT3,T6,Signaling capacity
IL10_CD4Tcells_pSTAT5_T1_T6,IL10_CD4Tcells_pSTAT5,T6,Signaling capacity
IL10_CD4TcellsCD45RAneg_Freq_T1_T6,IL10_CD4TcellsCD45RAneg_Freq,T6,Signaling capacity
IL10_CD4TcellsCD45RAneg_pSTAT1_T1_T6,IL10_CD4TcellsCD45RAneg_pSTAT1,T6,Signaling capacity
IL10_CD4TcellsCD45RAneg_pSTAT3_T1_T6,IL10_CD4TcellsCD45RAneg_pSTAT3,T6,Signaling capacity
IL10_CD4TcellsCD45RAneg_pSTAT5_T1_T6,IL10_CD4TcellsCD45RAneg_pSTAT5,T6,Signaling capacity
IL10_CD4TcellsCD45RApos_Freq_T1_T6,IL10_CD4TcellsCD45RApos_Freq,T6,Signaling capacity
IL10_CD4TcellsCD45RApos_pSTAT1_T1_T6,IL10_CD4TcellsCD45RApos_pSTAT1,T6,Signaling capacity
IL10_CD4TcellsCD45RApos_pSTAT3_T1_T6,IL10_CD4TcellsCD45RApos_pSTAT3,T6,Signaling capacity
IL10_CD4TcellsCD45RApos_pSTAT5_T1_T6,IL10_CD4TcellsCD45RApos_pSTAT5,T6,Signaling capacity
IL10_CD8Tcells_Freq_T1_T6,IL10_CD8Tcells_Freq,T6,Signaling capacity
IL10_CD8Tcells_pSTAT1_T1_T6,IL10_CD8Tcells_pSTAT1,T6,Signaling capacity
IL10_CD8Tcells_pSTAT3_T1_T6,IL10_CD8Tcells_pSTAT3,T6,Signaling capacity
IL10_CD8Tcells_pSTAT5_T1_T6,IL10_CD8Tcells_pSTAT5,T6,Signaling capacity
IL10_CD8TcellsCD45RAneg_Freq_T1_T6,IL10_CD8TcellsCD45RAneg_Freq,T6,Signaling capacity
IL10_CD8TcellsCD45RAneg_pSTAT1_T1_T6,IL10_CD8TcellsCD45RAneg_pSTAT1,T6,Signaling capacity
IL10_CD8TcellsCD45RAneg_pSTAT3_T1_T6,IL10_CD8TcellsCD45RAneg_pSTAT3,T6,Signaling capacity
IL10_CD8TcellsCD45RAneg_pSTAT5_T1_T6,IL10_CD8TcellsCD45RAneg_pSTAT5,T6,Signaling capacity
IL10_CD8TcellsCD45RApos_Freq_T1_T6,IL10_CD8TcellsCD45RApos_Freq,T6,Signaling capacity
IL10_CD8TcellsCD45RApos_pSTAT1_T1_T6,IL10_CD8TcellsCD45RApos_pSTAT1,T6,Signaling capacity
IL10_CD8TcellsCD45RApos_pSTAT3_T1_T6,IL10_CD8TcellsCD45RApos_pSTAT3,T6,Signaling capacity
IL10_CD8TcellsCD45RApos_pSTAT5_T1_T6,IL10_CD8TcellsCD45RApos_pSTAT5,T6,Signaling capacity
IL10_Monocytes_Freq_T1_T6,IL10_Monocytes_Freq,T6,Signaling capacity
IL10_Monocytes_pSTAT1_T1_T6,IL10_Monocytes_pSTAT1,T6,Signaling capacity
IL10_Monocytes_pSTAT3_T1_T6,IL10_Monocytes_pSTAT3,T6,Signaling capacity
IL10_Monocytes_pSTAT5_T1_T6,IL10_Monocytes_pSTAT5,T6,Signaling capacity
IL10_NonBT_Freq_T1_T6,IL10_NonBT_Freq,T6,Signaling capacity
IL10_NonBT_pSTAT1_T1_T6,IL10_NonBT_pSTAT1,T6,Signaling capacity
IL10_NonBT_pSTAT3_T1_T6,IL10_NonBT_pSTAT3,T6,Signaling capacity
IL10_NonBT_pSTAT5_T1_T6,IL10_NonBT_pSTAT5,T6,Signaling capacity
IL2_Bcells_Freq_T1_T6,IL2_Bcells_Freq,T6,Signaling capacity
IL2_Bcells_pSTAT1_T1_T6,IL2_Bcells_pSTAT1,T6,Signaling capacity
IL2_Bcells_pSTAT3_T1_T6,IL2_Bcells_pSTAT3,T6,Signaling capacity
IL2_Bcells_pSTAT5_T1_T6,IL2_Bcells_pSTAT5,T6,Signaling capacity
IL2_CD4Tcells_Freq_T1_T6,IL2_CD4Tcells_Freq,T6,Signaling capacity
IL2_CD4Tcells_pSTAT1_T1_T6,IL2_CD4Tcells_pSTAT1,T6,Signaling capacity
IL2_CD4Tcells_pSTAT3_T1_T6,IL2_CD4Tcells_pSTAT3,T6,Signaling capacity
IL2_CD4Tcells_pSTAT5_T1_T6,IL2_CD4Tcells_pSTAT5,T6,Signaling capacity
IL2_CD4TcellsCD45RAneg_Freq_T1_T6,IL2_CD4TcellsCD45RAneg_Freq,T6,Signaling capacity
IL2_CD4TcellsCD45RAneg_pSTAT1_T1_T6,IL2_CD4TcellsCD45RAneg_pSTAT1,T6,Signaling capacity
IL2_CD4TcellsCD45RAneg_pSTAT3_T1_T6,IL2_CD4TcellsCD45RAneg_pSTAT3,T6,Signaling capacity
IL2_CD4TcellsCD45RAneg_pSTAT5_T1_T6,IL2_CD4TcellsCD45RAneg_pSTAT5,T6,Signaling capacity
IL2_CD4TcellsCD45RApos_Freq_T1_T6,IL2_CD4TcellsCD45RApos_Freq,T6,Signaling capacity
IL2_CD4TcellsCD45RApos_pSTAT1_T1_T6,IL2_CD4TcellsCD45RApos_pSTAT1,T6,Signaling capacity
IL2_CD4TcellsCD45RApos_pSTAT3_T1_T6,IL2_CD4TcellsCD45RApos_pSTAT3,T6,Signaling capacity
IL2_CD4TcellsCD45RApos_pSTAT5_T1_T6,IL2_CD4TcellsCD45RApos_pSTAT5,T6,Signaling capacity
IL2_CD8Tcells_Freq_T1_T6,IL2_CD8Tcells_Freq,T6,Signaling capacity
IL2_CD8Tcells_pSTAT1_T1_T6,IL2_CD8Tcells_pSTAT1,T6,Signaling capacity
IL2_CD8Tcells_pSTAT3_T1_T6,IL2_CD8Tcells_pSTAT3,T6,Signaling capacity
IL2_CD8Tcells_pSTAT5_T1_T6,IL2_CD8Tcells_pSTAT5,T6,Signaling capacity
IL2_CD8TcellsCD45RAneg_Freq_T1_T6,IL2_CD8TcellsCD45RAneg_Freq,T6,Signaling capacity
IL2_CD8TcellsCD45RAneg_pSTAT1_T1_T6,IL2_CD8TcellsCD45RAneg_pSTAT1,T6,Signaling capacity
IL2_CD8TcellsCD45RAneg_pSTAT3_T1_T6,IL2_CD8TcellsCD45RAneg_pSTAT3,T6,Signaling capacity
IL2_CD8TcellsCD45RAneg_pSTAT5_T1_T6,IL2_CD8TcellsCD45RAneg_pSTAT5,T6,Signaling capacity
IL2_CD8TcellsCD45RApos_Freq_T1_T6,IL2_CD8TcellsCD45RApos_Freq,T6,Signaling capacity
IL2_CD8TcellsCD45RApos_pSTAT1_T1_T6,IL2_CD8TcellsCD45RApos_pSTAT1,T6,Signaling capacity
IL2_CD8TcellsCD45RApos_pSTAT3_T1_T6,IL2_CD8TcellsCD45RApos_pSTAT3,T6,Signaling capacity
IL2_CD8TcellsCD45RApos_pSTAT5_T1_T6,IL2_CD8TcellsCD45RApos_pSTAT5,T6,Signaling capacity
IL2_Monocytes_Freq_T1_T6,IL2_Monocytes_Freq,T6,Signaling capacity
IL2_Monocytes_pSTAT1_T1_T6,IL2_Monocytes_pSTAT1,T6,Signaling capacity
IL2_Monocytes_pSTAT3_T1_T6,IL2_Monocytes_pSTAT3,T6,Signaling capacity
IL2_Monocytes_pSTAT5_T1_T6,IL2_Monocytes_pSTAT5,T6,Signaling capacity
IL2_NonBT_Freq_T1_T6,IL2_NonBT_Freq,T6,Signaling capacity
IL2_NonBT_pSTAT1_T1_T6,IL2_NonBT_pSTAT1,T6,Signaling capacity
IL2_NonBT_pSTAT3_T1_T6,IL2_NonBT_pSTAT3,T6,Signaling capacity
IL2_NonBT_pSTAT5_T1_T6,IL2_NonBT_pSTAT5,T6,Signaling capacity
IL6_Bcells_Freq_T1_T6,IL6_Bcells_Freq,T6,Signaling capacity
IL6_Bcells_pSTAT1_T1_T6,IL6_Bcells_pSTAT1,T6,Signaling capacity
IL6_Bcells_pSTAT3_T1_T6,IL6_Bcells_pSTAT3,T6,Signaling capacity
IL6_Bcells_pSTAT5_T1_T6,IL6_Bcells_pSTAT5,T6,Signaling capacity
IL6_CD4Tcells_Freq_T1_T6,IL6_CD4Tcells_Freq,T6,Signaling capacity
IL6_CD4Tcells_pSTAT1_T1_T6,IL6_CD4Tcells_pSTAT1,T6,Signaling capacity
IL6_CD4Tcells_pSTAT3_T1_T6,IL6_CD4Tcells_pSTAT3,T6,Signaling capacity
IL6_CD4Tcells_pSTAT5_T1_T6,IL6_CD4Tcells_pSTAT5,T6,Signaling capacity
IL6_CD4TcellsCD45RAneg_Freq_T1_T6,IL6_CD4TcellsCD45RAneg_Freq,T6,Signaling capacity
IL6_CD4TcellsCD45RAneg_pSTAT1_T1_T6,IL6_CD4TcellsCD45RAneg_pSTAT1,T6,Signaling capacity
IL6_CD4TcellsCD45RAneg_pSTAT3_T1_T6,IL6_CD4TcellsCD45RAneg_pSTAT3,T6,Signaling capacity
IL6_CD4TcellsCD45RAneg_pSTAT5_T1_T6,IL6_CD4TcellsCD45RAneg_pSTAT5,T6,Signaling capacity
IL6_CD4TcellsCD45RApos_Freq_T1_T6,IL6_CD4TcellsCD45RApos_Freq,T6,Signaling capacity
IL6_CD4TcellsCD45RApos_pSTAT1_T1_T6,IL6_CD4TcellsCD45RApos_pSTAT1,T6,Signaling capacity
IL6_CD4TcellsCD45RApos_pSTAT3_T1_T6,IL6_CD4TcellsCD45RApos_pSTAT3,T6,Signaling capacity
IL6_CD4TcellsCD45RApos_pSTAT5_T1_T6,IL6_CD4TcellsCD45RApos_pSTAT5,T6,Signaling capacity
IL6_CD8Tcells_Freq_T1_T6,IL6_CD8Tcells_Freq,T6,Signaling capacity
IL6_CD8Tcells_pSTAT1_T1_T6,IL6_CD8Tcells_pSTAT1,T6,Signaling capacity
IL6_CD8Tcells_pSTAT3_T1_T6,IL6_CD8Tcells_pSTAT3,T6,Signaling capacity
IL6_CD8Tcells_pSTAT5_T1_T6,IL6_CD8Tcells_pSTAT5,T6,Signaling capacity
IL6_CD8TcellsCD45RAneg_Freq_T1_T6,IL6_CD8TcellsCD45RAneg_Freq,T6,Signaling capacity
IL6_CD8TcellsCD45RAneg_pSTAT1_T1_T6,IL6_CD8TcellsCD45RAneg_pSTAT1,T6,Signaling capacity
IL6_CD8TcellsCD45RAneg_pSTAT3_T1_T6,IL6_CD8TcellsCD45RAneg_pSTAT3,T6,Signaling capacity
IL6_CD8TcellsCD45RAneg_pSTAT5_T1_T6,IL6_CD8TcellsCD45RAneg_pSTAT5,T6,Signaling capacity
IL6_CD8TcellsCD45RApos_Freq_T1_T6,IL6_CD8TcellsCD45RApos_Freq,T6,Signaling capacity
IL6_CD8TcellsCD45RApos_pSTAT1_T1_T6,IL6_CD8TcellsCD45RApos_pSTAT1,T6,Signaling capacity
IL6_CD8TcellsCD45RApos_pSTAT3_T1_T6,IL6_CD8TcellsCD45RApos_pSTAT3,T6,Signaling capacity
IL6_CD8TcellsCD45RApos_pSTAT5_T1_T6,IL6_CD8TcellsCD45RApos_pSTAT5,T6,Signaling capacity
IL6_Monocytes_Freq_T1_T6,IL6_Monocytes_Freq,T6,Signaling capacity
IL6_Monocytes_pSTAT1_T1_T6,IL6_Monocytes_pSTAT1,T6,Signaling capacity
IL6_Monocytes_pSTAT3_T1_T6,IL6_Monocytes_pSTAT3,T6,Signaling capacity
IL6_Monocytes_pSTAT5_T1_T6,IL6_Monocytes_pSTAT5,T6,Signaling capacity
IL6_NonBT_Freq_T1_T6,IL6_NonBT_Freq,T6,Signaling capacity
IL6_NonBT_pSTAT1_T1_T6,IL6_NonBT_pSTAT1,T6,Signaling capacity
IL6_NonBT_pSTAT3_T1_T6,IL6_NonBT_pSTAT3,T6,Signaling capacity
IL6_NonBT_pSTAT5_T1_T6,IL6_NonBT_pSTAT5,T6,Signaling capacity
LPS_Bcells_pERK_T1_T6,LPS_Bcells_pERK,T6,Signaling capacity
LPS_Bcells_pP38_T1_T6,LPS_Bcells_pP38,T6,Signaling capacity
LPS_Bcells_pPLCg_T1_T6,LPS_Bcells_pPLCg,T6,Signaling capacity
LPS_CD4Tcells_pERK_T1_T6,LPS_CD4Tcells_pERK,T6,Signaling capacity
LPS_CD4Tcells_pP38_T1_T6,LPS_CD4Tcells_pP38,T6,Signaling capacity
LPS_CD4Tcells_pPLCg_T1_T6,LPS_CD4Tcells_pPLCg,T6,Signaling capacity
LPS_CD4TcellsCD45RAneg_pERK_T1_T6,LPS_CD4TcellsCD45RAneg_pERK,T6,Signaling capacity
LPS_CD4TcellsCD45RAneg_pP38_T1_T6,LPS_CD4TcellsCD45RAneg_pP38,T6,Signaling capacity
LPS_CD4TcellsCD45RAneg_pPLCg_T1_T6,LPS_CD4TcellsCD45RAneg_pPLCg,T6,Signaling capacity
LPS_CD4TcellsCD45RApos_pERK_T1_T6,LPS_CD4TcellsCD45RApos_pERK,T6,Signaling capacity
LPS_CD4TcellsCD45RApos_pP38_T1_T6,LPS_CD4TcellsCD45RApos_pP38,T6,Signaling capacity
LPS_CD4TcellsCD45RApos_pPLCg_T1_T6,LPS_CD4TcellsCD45RApos_pPLCg,T6,Signaling capacity
LPS_CD8Tcells_pERK_T1_T6,LPS_CD8Tcells_pERK,T6,Signaling capacity
LPS_CD8Tcells_pP38_T1_T6,LPS_CD8Tcells_pP38,T6,Signaling capacity
LPS_CD8Tcells_pPLCg_T1_T6,LPS_CD8Tcells_pPLCg,T6,Signaling capacity
LPS_CD8TcellsCD45RAneg_pERK_T1_T6,LPS_CD8TcellsCD45RAneg_pERK,T6,Signaling capacity
LPS_CD8TcellsCD45RAneg_pP38_T1_T6,LPS_CD8TcellsCD45RAneg_pP38,T6,Signaling capacity
LPS_CD8TcellsCD45RAneg_pPLCg_T1_T6,LPS_CD8TcellsCD45RAneg_pPLCg,T6,Signaling capacity
LPS_CD8TcellsCD45RApos_pERK_T1_T6,LPS_CD8TcellsCD45RApos_pERK,T6,Signaling capacity
LPS_CD8TcellsCD45RApos_pP38_T1_T6,LPS_CD8TcellsCD45RApos_pP38,T6,Signaling capacity
LPS_CD8TcellsCD45RApos_pPLCg_T1_T6,LPS_CD8TcellsCD45RApos_pPLCg,T6,Signaling capacity
LPS_Monocytes_pERK_T1_T6,LPS_Monocytes_pERK,T6,Signaling capacity
LPS_Monocytes_pP38_T1_T6,LPS_Monocytes_pP38,T6,Signaling capacity
LPS_Monocytes_pPLCg_T1_T6,LPS_Monocytes_pPLCg,T6,Signaling capacity
LPS_NonBT_pERK_T1_T6,LPS_NonBT_pERK,T6,Signaling capacity
LPS_NonBT_pP38_T1_T6,LPS_NonBT_pP38,T6,Signaling capacity
LPS_NonBT_pPLCg_T1_T6,LPS_NonBT_pPLCg,T6,Signaling capacity
